sub,sub_num,orig_epoch,condition,item_name,familiarity,match_status,isPC_LPC
06,6,73,Anomalous,scale,2.6875,matched,0.95142598612563
06,6,74,Metaphor,words,3.5625,matched,0.969853090017857
06,6,75,Anomalous,missing,2.8125,unmatched,0.948062933566103
06,6,77,Literal,light,5.47058823529412,matched,0.947823775662003
06,6,79,Anomalous,tree,2.375,matched,0.975280987005185
06,6,80,Metaphor,body,3.52941176470588,unmatched,0.913113933811434
06,6,81,Anomalous,food,3.58823529411765,matched,0.948551177348531
06,6,82,Metaphor,walk,5.88235294117647,matched,0.923273524090647
06,6,83,Metaphor,cough,2.58823529411765,unmatched,0.920177085685406
06,6,84,Anomalous,plant,3.0625,matched,0.965679716204184
06,6,85,Metaphor,key,5.17647058823529,matched,0.953802220461294
06,6,87,Anomalous,root,2.41176470588235,unmatched,0.94237514389481
06,6,89,Literal,clock,5.5,matched,0.890512386909673
06,6,91,Literal,fight,5.3125,matched,0.95348276317442
06,6,92,Metaphor,fixed,4.6875,matched,0.943205133511618
06,6,93,Literal,thought,5.52941176470588,matched,0.97228704541706
06,6,96,Literal,walking,3.9375,matched,0.963566839821751
06,6,97,Metaphor,running,5.53333333333333,matched,0.976883661746762
06,6,100,Metaphor,scattered,4.82352941176471,matched,0.993436553269348
06,6,101,Anomalous,empty,2,matched,0.925936474060508
06,6,102,Anomalous,shoulder,2.4375,matched,0.948068717911868
